2022-02-07 20:37:01,874 Logging directory: /scratch_net/biwidl217_second/arismu/Master_Thesis_Codes/project_TransUNet/TransUNet/log_dir/trFETS_train_cv1_r3/i2i2l/
2022-02-07 20:37:01,875 Tensorboard directory: /scratch_net/biwidl217_second/arismu/Tensorboard/trFETS_train_cv1_r3/i2i2l/
2022-02-07 20:37:01,875 ============================================================
2022-02-07 20:37:01,875 EXPERIMENT NAME: trFETS_train_cv1_r3/i2i2l/
2022-02-07 20:37:01,875 ============================================================
2022-02-07 20:37:01,875 Loading data...
2022-02-07 20:37:01,876 Already preprocessed this configuration. Loading now...
2022-02-07 20:41:51,816 Training Images: (240, 240, 54560)
2022-02-07 20:41:51,817 Training Labels: (240, 240, 54560)
2022-02-07 20:41:51,817 Validation Images: (240, 240, 12400)
2022-02-07 20:41:51,817 Validation Labels: (240, 240, 12400)
2022-02-07 20:41:51,817 ============================================================
2022-02-07 20:41:51,855 17 iterations per epoch. 50000 max iterations 
  0%|                                          | 0/15 [00:00<?, ?it/s]EPOCH: 0
2022-02-07 20:41:53,352 iteration 1 : loss : 1.119763, loss_ce: 1.362313
2022-02-07 20:41:54,586 iteration 2 : loss : 1.067002, loss_ce: 1.267709
2022-02-07 20:41:55,993 iteration 3 : loss : 1.025491, loss_ce: 1.200624
2022-02-07 20:41:57,282 iteration 4 : loss : 0.966856, loss_ce: 1.086224
2022-02-07 20:41:58,668 iteration 5 : loss : 0.903608, loss_ce: 0.974374
2022-02-07 20:41:59,986 iteration 6 : loss : 0.877554, loss_ce: 0.927286
2022-02-07 20:42:01,286 iteration 7 : loss : 0.804174, loss_ce: 0.802560
2022-02-07 20:42:02,660 iteration 8 : loss : 0.786047, loss_ce: 0.790611
2022-02-07 20:42:03,952 iteration 9 : loss : 0.724555, loss_ce: 0.673232
2022-02-07 20:42:05,264 iteration 10 : loss : 0.693715, loss_ce: 0.598727
2022-02-07 20:42:06,577 iteration 11 : loss : 0.682506, loss_ce: 0.596350
2022-02-07 20:42:07,928 iteration 12 : loss : 0.636284, loss_ce: 0.505478
2022-02-07 20:42:09,291 iteration 13 : loss : 0.600586, loss_ce: 0.429591
2022-02-07 20:42:10,615 iteration 14 : loss : 0.583983, loss_ce: 0.399187
2022-02-07 20:42:11,999 iteration 15 : loss : 0.560282, loss_ce: 0.354812
2022-02-07 20:42:13,266 iteration 16 : loss : 0.629297, loss_ce: 0.487745
2022-02-07 20:42:14,632 iteration 17 : loss : 0.572615, loss_ce: 0.388386
2022-02-07 20:42:16,035 iteration 18 : loss : 0.511500, loss_ce: 0.290374
2022-02-07 20:42:17,314 iteration 19 : loss : 0.479427, loss_ce: 0.251960
2022-02-07 20:42:18,578 iteration 20 : loss : 0.502967, loss_ce: 0.273465
2022-02-07 20:42:19,966 iteration 21 : loss : 0.504400, loss_ce: 0.265990
2022-02-07 20:42:21,176 iteration 22 : loss : 0.458980, loss_ce: 0.206378
2022-02-07 20:42:22,465 iteration 23 : loss : 0.467830, loss_ce: 0.181326
2022-02-07 20:42:23,779 iteration 24 : loss : 0.454242, loss_ce: 0.219836
2022-02-07 20:42:25,111 iteration 25 : loss : 0.441990, loss_ce: 0.199296
2022-02-07 20:42:26,401 iteration 26 : loss : 0.422949, loss_ce: 0.161989
2022-02-07 20:42:27,694 iteration 27 : loss : 0.436616, loss_ce: 0.125174
2022-02-07 20:42:28,940 iteration 28 : loss : 0.414211, loss_ce: 0.116362
2022-02-07 20:42:30,227 iteration 29 : loss : 0.450195, loss_ce: 0.149483
2022-02-07 20:42:31,651 iteration 30 : loss : 0.395068, loss_ce: 0.111394
2022-02-07 20:42:32,959 iteration 31 : loss : 0.433592, loss_ce: 0.119215
2022-02-07 20:42:34,274 iteration 32 : loss : 0.407188, loss_ce: 0.090985
2022-02-07 20:42:35,605 iteration 33 : loss : 0.412312, loss_ce: 0.073751
2022-02-07 20:42:36,869 iteration 34 : loss : 0.413972, loss_ce: 0.085175
2022-02-07 20:42:38,196 iteration 35 : loss : 0.421475, loss_ce: 0.091658
2022-02-07 20:42:39,405 iteration 36 : loss : 0.408378, loss_ce: 0.066106
2022-02-07 20:42:40,776 iteration 37 : loss : 0.383276, loss_ce: 0.077471
2022-02-07 20:42:42,200 iteration 38 : loss : 0.401272, loss_ce: 0.055424
2022-02-07 20:42:43,509 iteration 39 : loss : 0.398379, loss_ce: 0.047044
2022-02-07 20:42:44,743 iteration 40 : loss : 0.384250, loss_ce: 0.049448
2022-02-07 20:42:46,156 iteration 41 : loss : 0.400654, loss_ce: 0.050813
2022-02-07 20:42:47,435 iteration 42 : loss : 0.395281, loss_ce: 0.040180
2022-02-07 20:42:48,677 iteration 43 : loss : 0.396715, loss_ce: 0.043066
2022-02-07 20:42:49,974 iteration 44 : loss : 0.385882, loss_ce: 0.056236
2022-02-07 20:42:51,263 iteration 45 : loss : 0.386500, loss_ce: 0.048770
2022-02-07 20:42:52,561 iteration 46 : loss : 0.386132, loss_ce: 0.043617
2022-02-07 20:42:53,842 iteration 47 : loss : 0.362739, loss_ce: 0.050028
2022-02-07 20:42:55,191 iteration 48 : loss : 0.384868, loss_ce: 0.052167
2022-02-07 20:42:56,505 iteration 49 : loss : 0.409798, loss_ce: 0.068245
2022-02-07 20:42:57,789 iteration 50 : loss : 0.353809, loss_ce: 0.057194
2022-02-07 20:42:59,230 iteration 51 : loss : 0.376324, loss_ce: 0.051691
2022-02-07 20:43:00,637 iteration 52 : loss : 0.394569, loss_ce: 0.064161
2022-02-07 20:43:02,028 iteration 53 : loss : 0.379342, loss_ce: 0.065432
2022-02-07 20:43:03,340 iteration 54 : loss : 0.380526, loss_ce: 0.038565
2022-02-07 20:43:04,711 iteration 55 : loss : 0.355906, loss_ce: 0.052348
2022-02-07 20:43:06,046 iteration 56 : loss : 0.355718, loss_ce: 0.049620
2022-02-07 20:43:07,329 iteration 57 : loss : 0.356505, loss_ce: 0.046233
2022-02-07 20:43:08,585 iteration 58 : loss : 0.345303, loss_ce: 0.051316
2022-02-07 20:43:09,895 iteration 59 : loss : 0.373242, loss_ce: 0.057839
2022-02-07 20:43:11,206 iteration 60 : loss : 0.374147, loss_ce: 0.032168
2022-02-07 20:43:12,455 iteration 61 : loss : 0.355440, loss_ce: 0.034954
2022-02-07 20:43:13,780 iteration 62 : loss : 0.413067, loss_ce: 0.073631
2022-02-07 20:43:15,081 iteration 63 : loss : 0.331505, loss_ce: 0.040656
2022-02-07 20:43:16,333 iteration 64 : loss : 0.393232, loss_ce: 0.035977
2022-02-07 20:43:17,740 iteration 65 : loss : 0.372485, loss_ce: 0.033084
2022-02-07 20:43:19,039 iteration 66 : loss : 0.348406, loss_ce: 0.035109
2022-02-07 20:43:20,429 iteration 67 : loss : 0.385367, loss_ce: 0.066113
2022-02-07 20:43:21,773 iteration 68 : loss : 0.387011, loss_ce: 0.023615
2022-02-07 20:43:23,040 iteration 69 : loss : 0.373215, loss_ce: 0.040148
2022-02-07 20:43:24,355 iteration 70 : loss : 0.356531, loss_ce: 0.030732
2022-02-07 20:43:25,771 iteration 71 : loss : 0.363793, loss_ce: 0.051985
2022-02-07 20:43:27,107 iteration 72 : loss : 0.357715, loss_ce: 0.039831
2022-02-07 20:43:28,432 iteration 73 : loss : 0.360313, loss_ce: 0.036031
2022-02-07 20:43:29,743 iteration 74 : loss : 0.342290, loss_ce: 0.034842
2022-02-07 20:43:31,113 iteration 75 : loss : 0.369358, loss_ce: 0.032813
2022-02-07 20:43:32,444 iteration 76 : loss : 0.352060, loss_ce: 0.037429
2022-02-07 20:43:33,732 iteration 77 : loss : 0.381505, loss_ce: 0.012968
2022-02-07 20:43:35,162 iteration 78 : loss : 0.376162, loss_ce: 0.019144
2022-02-07 20:43:36,505 iteration 79 : loss : 0.349705, loss_ce: 0.027614
2022-02-07 20:43:37,748 iteration 80 : loss : 0.384251, loss_ce: 0.018382
2022-02-07 20:43:39,000 iteration 81 : loss : 0.350182, loss_ce: 0.023632
2022-02-07 20:43:40,266 iteration 82 : loss : 0.382560, loss_ce: 0.015000
2022-02-07 20:43:41,568 iteration 83 : loss : 0.348764, loss_ce: 0.028764
2022-02-07 20:43:42,816 iteration 84 : loss : 0.352851, loss_ce: 0.051855
2022-02-07 20:43:44,144 iteration 85 : loss : 0.368349, loss_ce: 0.025333
2022-02-07 20:43:45,440 iteration 86 : loss : 0.370455, loss_ce: 0.044115
2022-02-07 20:43:46,823 iteration 87 : loss : 0.370952, loss_ce: 0.048451
2022-02-07 20:43:48,196 iteration 88 : loss : 0.356990, loss_ce: 0.066823
2022-02-07 20:43:49,596 iteration 89 : loss : 0.338996, loss_ce: 0.028531
2022-02-07 20:43:51,070 iteration 90 : loss : 0.354578, loss_ce: 0.035339
2022-02-07 20:43:52,421 iteration 91 : loss : 0.348122, loss_ce: 0.035174
2022-02-07 20:43:53,727 iteration 92 : loss : 0.325893, loss_ce: 0.033838
2022-02-07 20:43:55,005 iteration 93 : loss : 0.389266, loss_ce: 0.027966
2022-02-07 20:43:56,293 iteration 94 : loss : 0.334980, loss_ce: 0.032084
2022-02-07 20:43:57,627 iteration 95 : loss : 0.388424, loss_ce: 0.026237
2022-02-07 20:43:58,897 iteration 96 : loss : 0.369639, loss_ce: 0.042015
2022-02-07 20:44:00,222 iteration 97 : loss : 0.330920, loss_ce: 0.039821
2022-02-07 20:44:01,595 iteration 98 : loss : 0.348654, loss_ce: 0.033121
2022-02-07 20:44:02,943 iteration 99 : loss : 0.332631, loss_ce: 0.020688
2022-02-07 20:44:04,237 iteration 100 : loss : 0.375943, loss_ce: 0.023960
2022-02-07 20:44:05,543 iteration 101 : loss : 0.382304, loss_ce: 0.014465
2022-02-07 20:44:06,840 iteration 102 : loss : 0.373514, loss_ce: 0.049643
2022-02-07 20:44:08,232 iteration 103 : loss : 0.383664, loss_ce: 0.017185
2022-02-07 20:44:09,612 iteration 104 : loss : 0.339423, loss_ce: 0.027708
2022-02-07 20:44:10,972 iteration 105 : loss : 0.361874, loss_ce: 0.044949
2022-02-07 20:44:12,312 iteration 106 : loss : 0.377584, loss_ce: 0.028033
2022-02-07 20:44:13,658 iteration 107 : loss : 0.353398, loss_ce: 0.021320
2022-02-07 20:44:15,050 iteration 108 : loss : 0.349431, loss_ce: 0.019724
2022-02-07 20:44:16,375 iteration 109 : loss : 0.367535, loss_ce: 0.020525
2022-02-07 20:44:17,901 iteration 110 : loss : 0.370211, loss_ce: 0.016092
2022-02-07 20:44:19,291 iteration 111 : loss : 0.360083, loss_ce: 0.067377
2022-02-07 20:44:20,615 iteration 112 : loss : 0.351331, loss_ce: 0.042779
2022-02-07 20:44:21,894 iteration 113 : loss : 0.347085, loss_ce: 0.033039
2022-02-07 20:44:23,199 iteration 114 : loss : 0.331446, loss_ce: 0.025918
2022-02-07 20:44:24,490 iteration 115 : loss : 0.320201, loss_ce: 0.025614
2022-02-07 20:44:25,754 iteration 116 : loss : 0.358488, loss_ce: 0.019630
2022-02-07 20:44:27,043 iteration 117 : loss : 0.384849, loss_ce: 0.019274
2022-02-07 20:44:28,416 iteration 118 : loss : 0.392646, loss_ce: 0.034278
2022-02-07 20:44:29,817 iteration 119 : loss : 0.343684, loss_ce: 0.035395
2022-02-07 20:44:31,115 iteration 120 : loss : 0.348212, loss_ce: 0.037402
2022-02-07 20:44:32,413 iteration 121 : loss : 0.368796, loss_ce: 0.044243
2022-02-07 20:44:33,755 iteration 122 : loss : 0.350161, loss_ce: 0.040486
2022-02-07 20:44:35,036 iteration 123 : loss : 0.319146, loss_ce: 0.020838
2022-02-07 20:44:36,443 iteration 124 : loss : 0.372855, loss_ce: 0.022022
2022-02-07 20:44:37,721 iteration 125 : loss : 0.369520, loss_ce: 0.021735
2022-02-07 20:44:39,050 iteration 126 : loss : 0.354135, loss_ce: 0.033371
