2022-02-24 21:23:41,093 Logging directory: /scratch_net/biwidl217_second/arismu/Master_Thesis_Codes/project_TransUNet/TransUNet/log_dir/trFETS_train_cv1_r3/i2i2l/
2022-02-24 21:23:41,094 Tensorboard directory: /scratch_net/biwidl217_second/arismu/Tensorboard/trFETS_train_cv1_r3/i2i2l/
2022-02-24 21:23:41,094 ============================================================
2022-02-24 21:23:41,094 EXPERIMENT NAME: trFETS_train_cv1_r3/i2i2l/
2022-02-24 21:23:41,094 ============================================================
2022-02-24 21:23:41,094 Loading data...
2022-02-24 21:23:41,096 Already preprocessed this configuration. Loading now...
2022-02-24 21:23:41,218 Already preprocessed this configuration. Loading now...
2022-02-24 21:27:00,358 Training Images: torch.Size([240, 240, 54560])
2022-02-24 21:27:00,359 Training Labels: torch.Size([240, 240, 54560])
2022-02-24 21:27:00,359 Validation Images: torch.Size([240, 240, 12400])
2022-02-24 21:27:00,359 Validation Labels: torch.Size([240, 240, 12400])
2022-02-24 21:27:00,359 ============================================================
2022-02-24 21:27:00,416 9 iterations per epoch. 119351 max iterations 
  0%|                                         | 0/140 [00:00<?, ?it/s]EPOCH: 0
2022-02-24 21:27:06,165 iteration 1 : loss : 1.057039, loss_ce: 1.250028
2022-02-24 21:27:08,979 iteration 2 : loss : 1.022075, loss_ce: 1.185440
2022-02-24 21:27:11,412 iteration 3 : loss : 0.973397, loss_ce: 1.110220
2022-02-24 21:27:13,931 iteration 4 : loss : 0.957656, loss_ce: 1.078663
2022-02-24 21:27:16,737 iteration 5 : loss : 0.914249, loss_ce: 1.014241
2022-02-24 21:27:19,276 iteration 6 : loss : 0.889669, loss_ce: 0.980554
2022-02-24 21:27:21,956 iteration 7 : loss : 0.892010, loss_ce: 0.964411
2022-02-24 21:27:24,523 iteration 8 : loss : 0.898902, loss_ce: 0.966211
2022-02-24 21:27:26,844 iteration 9 : loss : 0.842427, loss_ce: 0.905881
2022-02-24 21:27:29,708 iteration 10 : loss : 0.836179, loss_ce: 0.880699
2022-02-24 21:27:32,500 iteration 11 : loss : 0.819607, loss_ce: 0.843428
2022-02-24 21:27:35,308 iteration 12 : loss : 0.816260, loss_ce: 0.822818
2022-02-24 21:27:37,927 iteration 13 : loss : 0.791917, loss_ce: 0.788929
2022-02-24 21:27:40,815 iteration 14 : loss : 0.782203, loss_ce: 0.764405
2022-02-24 21:27:43,839 iteration 15 : loss : 0.768662, loss_ce: 0.741562
2022-02-24 21:27:46,281 iteration 16 : loss : 0.757064, loss_ce: 0.721061
2022-02-24 21:27:49,028 iteration 17 : loss : 0.742600, loss_ce: 0.699031
2022-02-24 21:27:51,340 iteration 18 : loss : 0.749214, loss_ce: 0.699480
2022-02-24 21:27:54,394 iteration 19 : loss : 0.720653, loss_ce: 0.669927
2022-02-24 21:27:57,271 iteration 20 : loss : 0.717597, loss_ce: 0.656513
2022-02-24 21:28:00,253 iteration 21 : loss : 0.708555, loss_ce: 0.639513
2022-02-24 21:28:02,414 iteration 22 : loss : 0.692935, loss_ce: 0.619614
2022-02-24 21:28:05,614 iteration 23 : loss : 0.677521, loss_ce: 0.601765
2022-02-24 21:28:08,039 iteration 24 : loss : 0.678463, loss_ce: 0.594203
2022-02-24 21:28:11,077 iteration 25 : loss : 0.677694, loss_ce: 0.596324
2022-02-24 21:28:13,292 iteration 26 : loss : 0.664467, loss_ce: 0.555986
2022-02-24 21:28:15,629 iteration 27 : loss : 0.661664, loss_ce: 0.545060
2022-02-24 21:28:18,215 iteration 28 : loss : 0.635994, loss_ce: 0.521462
2022-02-24 21:28:21,087 iteration 29 : loss : 0.706171, loss_ce: 0.620959
2022-02-24 21:28:24,262 iteration 30 : loss : 0.651882, loss_ce: 0.526837
2022-02-24 21:28:26,752 iteration 31 : loss : 0.626615, loss_ce: 0.494708
2022-02-24 21:28:28,978 iteration 32 : loss : 0.615924, loss_ce: 0.478417
2022-02-24 21:28:31,410 iteration 33 : loss : 0.605055, loss_ce: 0.482616
2022-02-24 21:28:33,965 iteration 34 : loss : 0.578614, loss_ce: 0.454799
2022-02-24 21:28:36,954 iteration 35 : loss : 0.595041, loss_ce: 0.446056
2022-02-24 21:28:39,445 iteration 36 : loss : 0.589527, loss_ce: 0.428728
2022-02-24 21:28:42,138 iteration 37 : loss : 0.588304, loss_ce: 0.415274
2022-02-24 21:28:45,137 iteration 38 : loss : 0.576687, loss_ce: 0.401661
2022-02-24 21:28:47,736 iteration 39 : loss : 0.552215, loss_ce: 0.400749
2022-02-24 21:28:50,685 iteration 40 : loss : 0.541810, loss_ce: 0.380960
2022-02-24 21:28:53,470 iteration 41 : loss : 0.545038, loss_ce: 0.375064
2022-02-24 21:28:56,189 iteration 42 : loss : 0.567552, loss_ce: 0.372943
2022-02-24 21:28:58,937 iteration 43 : loss : 0.558850, loss_ce: 0.358411
2022-02-24 21:29:01,387 iteration 44 : loss : 0.518068, loss_ce: 0.347419
2022-02-24 21:29:04,390 iteration 45 : loss : 0.513264, loss_ce: 0.344610
2022-02-24 21:29:07,292 iteration 46 : loss : 0.541158, loss_ce: 0.326049
2022-02-24 21:29:10,168 iteration 47 : loss : 0.511938, loss_ce: 0.314535
2022-02-24 21:29:12,710 iteration 48 : loss : 0.522083, loss_ce: 0.306290
2022-02-24 21:29:15,606 iteration 49 : loss : 0.523225, loss_ce: 0.303298
2022-02-24 21:29:17,924 iteration 50 : loss : 0.534803, loss_ce: 0.307918
2022-02-24 21:29:20,313 iteration 51 : loss : 0.480999, loss_ce: 0.277560
2022-02-24 21:29:22,993 iteration 52 : loss : 0.515635, loss_ce: 0.272227
2022-02-24 21:29:25,796 iteration 53 : loss : 0.493705, loss_ce: 0.263822
2022-02-24 21:29:28,563 iteration 54 : loss : 0.468156, loss_ce: 0.256391
2022-02-24 21:29:31,149 iteration 55 : loss : 0.492125, loss_ce: 0.259692
2022-02-24 21:29:34,011 iteration 56 : loss : 0.471193, loss_ce: 0.250364
2022-02-24 21:29:36,235 iteration 57 : loss : 0.493646, loss_ce: 0.248975
2022-02-24 21:29:39,007 iteration 58 : loss : 0.500620, loss_ce: 0.243861
2022-02-24 21:29:40,836 iteration 59 : loss : 0.438702, loss_ce: 0.233370
2022-02-24 21:29:43,249 iteration 60 : loss : 0.492330, loss_ce: 0.248736
2022-02-24 21:29:45,514 iteration 61 : loss : 0.479548, loss_ce: 0.230703
2022-02-24 21:29:48,624 iteration 62 : loss : 0.487176, loss_ce: 0.220120
2022-02-24 21:29:51,372 iteration 63 : loss : 0.446742, loss_ce: 0.206969
2022-02-24 21:29:53,658 iteration 64 : loss : 0.482567, loss_ce: 0.209605
2022-02-24 21:29:56,459 iteration 65 : loss : 0.438427, loss_ce: 0.208512
2022-02-24 21:29:59,235 iteration 66 : loss : 0.440370, loss_ce: 0.194459
2022-02-24 21:30:01,614 iteration 67 : loss : 0.404639, loss_ce: 0.190318
2022-02-24 21:30:04,530 iteration 68 : loss : 0.464262, loss_ce: 0.191340
2022-02-24 21:30:07,191 iteration 69 : loss : 0.405304, loss_ce: 0.194647
2022-02-24 21:30:09,485 iteration 70 : loss : 0.417922, loss_ce: 0.188483
2022-02-24 21:30:12,181 iteration 71 : loss : 0.465142, loss_ce: 0.177951
2022-02-24 21:30:14,750 iteration 72 : loss : 0.434407, loss_ce: 0.176823
2022-02-24 21:30:17,272 iteration 73 : loss : 0.398511, loss_ce: 0.165757
2022-02-24 21:30:19,954 iteration 74 : loss : 0.447160, loss_ce: 0.167776
2022-02-24 21:30:22,718 iteration 75 : loss : 0.407292, loss_ce: 0.163390
2022-02-24 21:30:25,613 iteration 76 : loss : 0.412291, loss_ce: 0.163683
2022-02-24 21:30:28,164 iteration 77 : loss : 0.433000, loss_ce: 0.157545
2022-02-24 21:30:30,672 iteration 78 : loss : 0.391517, loss_ce: 0.149465
2022-02-24 21:30:33,847 iteration 79 : loss : 0.369264, loss_ce: 0.156031
2022-02-24 21:30:36,605 iteration 80 : loss : 0.404253, loss_ce: 0.144557
2022-02-24 21:30:39,459 iteration 81 : loss : 0.451545, loss_ce: 0.150193
2022-02-24 21:30:42,154 iteration 82 : loss : 0.427050, loss_ce: 0.138129
