2022-03-06 18:15:59,384 Logging directory: /scratch_net/biwidl217_second/arismu/Master_Thesis_Codes/project_TransUNet/TransUNet/log_dir/trFETS_train_cv1_r3/i2i2l/
2022-03-06 18:15:59,385 Tensorboard directory: /scratch_net/biwidl217_second/arismu/Tensorboard/trFETS_train_cv1_r3/i2i2l/
2022-03-06 18:15:59,385 ============================================================
2022-03-06 18:15:59,385 EXPERIMENT NAME: trFETS_train_cv1_r3/i2i2l/
2022-03-06 18:15:59,385 ============================================================
2022-03-06 18:15:59,385 Loading data...
2022-03-06 18:15:59,387 Already preprocessed this configuration. Loading now...
2022-03-06 18:15:59,408 Already preprocessed this configuration. Loading now...
2022-03-06 18:19:15,284 Training Images: torch.Size([240, 240, 54560])
2022-03-06 18:19:15,284 Training Labels: torch.Size([240, 240, 54560])
2022-03-06 18:19:15,284 Validation Images: torch.Size([240, 240, 12400])
2022-03-06 18:19:15,284 Validation Labels: torch.Size([240, 240, 12400])
2022-03-06 18:19:15,284 ============================================================
2022-03-06 18:19:15,359 17 iterations per epoch. 119351 max iterations 
  0%|                                         | 0/140 [00:00<?, ?it/s]EPOCH: 0
2022-03-06 18:19:18,695 iteration 1 : loss : 1.149065, loss_ce: 1.416641
2022-03-06 18:19:21,854 iteration 2 : loss : 1.092441, loss_ce: 1.313516
2022-03-06 18:19:24,609 iteration 3 : loss : 1.011778, loss_ce: 1.186248
2022-03-06 18:19:27,518 iteration 4 : loss : 0.987068, loss_ce: 1.139576
2022-03-06 18:19:30,526 iteration 5 : loss : 0.902152, loss_ce: 1.013026
2022-03-06 18:19:33,438 iteration 6 : loss : 0.893063, loss_ce: 0.997215
2022-03-06 18:19:36,192 iteration 7 : loss : 0.838961, loss_ce: 0.875588
2022-03-06 18:19:39,580 iteration 8 : loss : 0.830510, loss_ce: 0.843579
2022-03-06 18:19:42,586 iteration 9 : loss : 0.733659, loss_ce: 0.735728
2022-03-06 18:19:45,355 iteration 10 : loss : 0.726685, loss_ce: 0.703518
2022-03-06 18:19:48,280 iteration 11 : loss : 0.689381, loss_ce: 0.629471
2022-03-06 18:19:50,981 iteration 12 : loss : 0.693130, loss_ce: 0.604035
2022-03-06 18:19:53,719 iteration 13 : loss : 0.635216, loss_ce: 0.526795
2022-03-06 18:19:56,815 iteration 14 : loss : 0.615745, loss_ce: 0.473543
2022-03-06 18:19:59,736 iteration 15 : loss : 0.602806, loss_ce: 0.456967
2022-03-06 18:20:02,591 iteration 16 : loss : 0.555239, loss_ce: 0.381684
2022-03-06 18:20:05,599 iteration 17 : loss : 0.530865, loss_ce: 0.345647
2022-03-06 18:20:08,604 iteration 18 : loss : 0.579156, loss_ce: 0.393582
2022-03-06 18:20:11,874 iteration 19 : loss : 0.477703, loss_ce: 0.285652
2022-03-06 18:20:14,963 iteration 20 : loss : 0.493794, loss_ce: 0.285996
2022-03-06 18:20:17,673 iteration 21 : loss : 0.480163, loss_ce: 0.250530
2022-03-06 18:20:20,841 iteration 22 : loss : 0.437089, loss_ce: 0.212829
2022-03-06 18:20:23,678 iteration 23 : loss : 0.456266, loss_ce: 0.239620
2022-03-06 18:20:26,583 iteration 24 : loss : 0.418064, loss_ce: 0.191819
2022-03-06 18:20:29,455 iteration 25 : loss : 0.437830, loss_ce: 0.223143
2022-03-06 18:20:32,592 iteration 26 : loss : 0.434328, loss_ce: 0.167847
2022-03-06 18:20:35,658 iteration 27 : loss : 0.429023, loss_ce: 0.138757
