2022-02-09 18:05:38,319 Logging directory: /scratch_net/biwidl217_second/arismu/Master_Thesis_Codes/project_TransUNet/TransUNet/log_dir/trFETS_train_cv1_r3/i2i2l/
2022-02-09 18:05:38,320 Tensorboard directory: /scratch_net/biwidl217_second/arismu/Tensorboard/trFETS_train_cv1_r3/i2i2l/
2022-02-09 18:05:38,320 ============================================================
2022-02-09 18:05:38,320 EXPERIMENT NAME: trFETS_train_cv1_r3/i2i2l/
2022-02-09 18:05:38,320 ============================================================
2022-02-09 18:05:38,320 Loading data...
2022-02-09 18:05:38,321 Already preprocessed this configuration. Loading now...
2022-02-09 18:05:39,549 Already preprocessed this configuration. Loading now...
2022-02-09 18:11:36,379 Training Images: (240, 240, 54560)
2022-02-09 18:11:36,380 Training Labels: (240, 240, 54560)
2022-02-09 18:11:36,380 Validation Images: (240, 240, 12400)
2022-02-09 18:11:36,380 Validation Labels: (240, 240, 12400)
2022-02-09 18:11:36,380 ============================================================
2022-02-09 18:11:36,425 17 iterations per epoch. 50000 max iterations 
  0%|                                          | 0/15 [00:00<?, ?it/s]EPOCH: 0
2022-02-09 18:11:37,190 iteration 1 : loss : 1.314993, loss_ce: 1.720014
2022-02-09 18:11:37,669 iteration 2 : loss : 1.290166, loss_ce: 1.677979
2022-02-09 18:11:38,326 iteration 3 : loss : 1.269053, loss_ce: 1.642632
2022-02-09 18:11:38,861 iteration 4 : loss : 1.202524, loss_ce: 1.514410
2022-02-09 18:11:39,470 iteration 5 : loss : 1.197701, loss_ce: 1.505128
2022-02-09 18:11:40,031 iteration 6 : loss : 1.138857, loss_ce: 1.398870
2022-02-09 18:11:40,559 iteration 7 : loss : 1.129060, loss_ce: 1.384030
2022-02-09 18:11:41,166 iteration 8 : loss : 1.099078, loss_ce: 1.347903
2022-02-09 18:11:41,690 iteration 9 : loss : 1.071953, loss_ce: 1.289564
2022-02-09 18:11:42,224 iteration 10 : loss : 1.048330, loss_ce: 1.235389
2022-02-09 18:11:42,758 iteration 11 : loss : 1.067159, loss_ce: 1.283828
2022-02-09 18:11:43,330 iteration 12 : loss : 1.018028, loss_ce: 1.186795
2022-02-09 18:11:43,933 iteration 13 : loss : 0.999411, loss_ce: 1.146678
2022-02-09 18:11:44,499 iteration 14 : loss : 0.992750, loss_ce: 1.135642
2022-02-09 18:11:45,118 iteration 15 : loss : 0.985010, loss_ce: 1.120496
2022-02-09 18:11:45,609 iteration 16 : loss : 1.000683, loss_ce: 1.152620
2022-02-09 18:11:46,196 iteration 17 : loss : 1.022725, loss_ce: 1.200728
2022-02-09 18:11:46,823 iteration 18 : loss : 0.978393, loss_ce: 1.120271
2022-02-09 18:11:47,331 iteration 19 : loss : 0.950858, loss_ce: 1.072598
