2022-02-09 14:13:56,819 Logging directory: /scratch_net/biwidl217_second/arismu/Master_Thesis_Codes/project_TransUNet/TransUNet/log_dir/trFETS_train_cv1_r3/i2i2l/
2022-02-09 14:13:56,820 Tensorboard directory: /scratch_net/biwidl217_second/arismu/Tensorboard/trFETS_train_cv1_r3/i2i2l/
2022-02-09 14:13:56,820 ============================================================
2022-02-09 14:13:56,820 EXPERIMENT NAME: trFETS_train_cv1_r3/i2i2l/
2022-02-09 14:13:56,820 ============================================================
2022-02-09 14:13:56,820 Loading data...
2022-02-09 14:13:56,822 Already preprocessed this configuration. Loading now...
2022-02-09 14:13:56,862 Already preprocessed this configuration. Loading now...
2022-02-09 14:20:50,187 Training Images: (240, 240, 54560)
2022-02-09 14:20:50,383 Training Labels: (240, 240, 54560)
2022-02-09 14:20:50,383 Validation Images: (240, 240, 12400)
2022-02-09 14:20:50,384 Validation Labels: (240, 240, 12400)
2022-02-09 14:20:50,384 ============================================================
2022-02-09 14:20:50,483 17 iterations per epoch. 50000 max iterations 
  0%|                                          | 0/15 [00:00<?, ?it/s]EPOCH: 0
2022-02-09 14:20:57,822 iteration 1 : loss : 1.128570, loss_ce: 1.381926
2022-02-09 14:20:59,088 iteration 2 : loss : 1.091842, loss_ce: 1.310980
2022-02-09 14:21:00,336 iteration 3 : loss : 1.026758, loss_ce: 1.194134
2022-02-09 14:21:01,626 iteration 4 : loss : 0.957951, loss_ce: 1.073950
2022-02-09 14:21:02,968 iteration 5 : loss : 0.908547, loss_ce: 0.990474
2022-02-09 14:21:04,248 iteration 6 : loss : 0.863057, loss_ce: 0.920559
2022-02-09 14:21:05,506 iteration 7 : loss : 0.824149, loss_ce: 0.840543
2022-02-09 14:21:06,782 iteration 8 : loss : 0.802964, loss_ce: 0.796057
2022-02-09 14:21:08,091 iteration 9 : loss : 0.746469, loss_ce: 0.710477
2022-02-09 14:21:09,403 iteration 10 : loss : 0.713810, loss_ce: 0.640483
2022-02-09 14:21:10,692 iteration 11 : loss : 0.709663, loss_ce: 0.658777
2022-02-09 14:21:12,110 iteration 12 : loss : 0.656659, loss_ce: 0.542553
2022-02-09 14:21:13,554 iteration 13 : loss : 0.641037, loss_ce: 0.525244
2022-02-09 14:21:14,934 iteration 14 : loss : 0.697707, loss_ce: 0.612313
2022-02-09 14:21:16,300 iteration 15 : loss : 0.578376, loss_ce: 0.433816
2022-02-09 14:21:17,617 iteration 16 : loss : 0.563534, loss_ce: 0.369837
2022-02-09 14:21:18,904 iteration 17 : loss : 0.540874, loss_ce: 0.335804
2022-02-09 14:21:20,184 iteration 18 : loss : 0.528812, loss_ce: 0.324848
2022-02-09 14:21:21,493 iteration 19 : loss : 0.538381, loss_ce: 0.334247
2022-02-09 14:21:22,909 iteration 20 : loss : 0.493415, loss_ce: 0.266377
2022-02-09 14:21:24,259 iteration 21 : loss : 0.508090, loss_ce: 0.271419
2022-02-09 14:21:25,620 iteration 22 : loss : 0.489363, loss_ce: 0.222504
2022-02-09 14:21:26,905 iteration 23 : loss : 0.443424, loss_ce: 0.183231
2022-02-09 14:21:28,232 iteration 24 : loss : 0.461185, loss_ce: 0.168140
2022-02-09 14:21:29,649 iteration 25 : loss : 0.468878, loss_ce: 0.182224
2022-02-09 14:21:30,957 iteration 26 : loss : 0.461520, loss_ce: 0.184450
2022-02-09 14:21:32,338 iteration 27 : loss : 0.422486, loss_ce: 0.139428
2022-02-09 14:21:33,694 iteration 28 : loss : 0.412811, loss_ce: 0.122443
2022-02-09 14:21:34,979 iteration 29 : loss : 0.413593, loss_ce: 0.118323
2022-02-09 14:21:36,307 iteration 30 : loss : 0.410100, loss_ce: 0.099148
2022-02-09 14:21:37,651 iteration 31 : loss : 0.411800, loss_ce: 0.105925
2022-02-09 14:21:38,897 iteration 32 : loss : 0.390448, loss_ce: 0.107231
2022-02-09 14:21:40,301 iteration 33 : loss : 0.421539, loss_ce: 0.091240
2022-02-09 14:21:41,583 iteration 34 : loss : 0.420270, loss_ce: 0.125697
2022-02-09 14:21:42,839 iteration 35 : loss : 0.378542, loss_ce: 0.071401
2022-02-09 14:21:44,146 iteration 36 : loss : 0.382572, loss_ce: 0.078274
2022-02-09 14:21:45,482 iteration 37 : loss : 0.398148, loss_ce: 0.070519
2022-02-09 14:21:46,855 iteration 38 : loss : 0.351507, loss_ce: 0.065957
2022-02-09 14:21:48,323 iteration 39 : loss : 0.347522, loss_ce: 0.072148
