2022-02-10 19:44:58,411 Logging directory: /scratch_net/biwidl217_second/arismu/Master_Thesis_Codes/project_TransUNet/TransUNet/log_dir/trFETS_train_cv1_r3/i2i2l/
2022-02-10 19:44:58,412 Tensorboard directory: /scratch_net/biwidl217_second/arismu/Tensorboard/trFETS_train_cv1_r3/i2i2l/
2022-02-10 19:44:58,412 ============================================================
2022-02-10 19:44:58,412 EXPERIMENT NAME: trFETS_train_cv1_r3/i2i2l/
2022-02-10 19:44:58,412 ============================================================
2022-02-10 19:44:58,412 Loading data...
2022-02-10 19:44:58,413 Already preprocessed this configuration. Loading now...
2022-02-10 19:44:59,385 Already preprocessed this configuration. Loading now...
2022-02-10 19:52:50,497 Training Images: (240, 240, 54560)
2022-02-10 19:52:50,526 Training Labels: (240, 240, 54560)
2022-02-10 19:52:50,526 Validation Images: (240, 240, 12400)
2022-02-10 19:52:50,526 Validation Labels: (240, 240, 12400)
2022-02-10 19:52:50,526 ============================================================
2022-02-10 19:52:50,835 17 iterations per epoch. 119351 max iterations 
  0%|                                          | 0/35 [00:00<?, ?it/s]EPOCH: 0
2022-02-10 19:52:52,864 iteration 1 : loss : 1.119763, loss_ce: 1.362313
2022-02-10 19:52:54,096 iteration 2 : loss : 1.067080, loss_ce: 1.267848
2022-02-10 19:52:55,488 iteration 3 : loss : 1.025181, loss_ce: 1.200033
2022-02-10 19:52:56,775 iteration 4 : loss : 0.968198, loss_ce: 1.088697
2022-02-10 19:52:58,131 iteration 5 : loss : 0.903384, loss_ce: 0.974062
2022-02-10 19:52:59,438 iteration 6 : loss : 0.876161, loss_ce: 0.924772
2022-02-10 19:53:00,727 iteration 7 : loss : 0.806526, loss_ce: 0.807164
2022-02-10 19:53:02,084 iteration 8 : loss : 0.769221, loss_ce: 0.767035
2022-02-10 19:53:03,371 iteration 9 : loss : 0.727309, loss_ce: 0.678173
2022-02-10 19:53:04,671 iteration 10 : loss : 0.698727, loss_ce: 0.607841
2022-02-10 19:53:05,967 iteration 11 : loss : 0.676019, loss_ce: 0.587958
2022-02-10 19:53:07,294 iteration 12 : loss : 0.635229, loss_ce: 0.503589
2022-02-10 19:53:08,656 iteration 13 : loss : 0.600474, loss_ce: 0.429395
2022-02-10 19:53:09,969 iteration 14 : loss : 0.583854, loss_ce: 0.398920
2022-02-10 19:53:11,339 iteration 15 : loss : 0.558542, loss_ce: 0.351693
2022-02-10 19:53:12,606 iteration 16 : loss : 0.619372, loss_ce: 0.471686
2022-02-10 19:53:13,955 iteration 17 : loss : 0.578499, loss_ce: 0.400418
2022-02-10 19:53:15,335 iteration 18 : loss : 0.509430, loss_ce: 0.293496
2022-02-10 19:53:16,666 iteration 19 : loss : 0.474830, loss_ce: 0.256311
2022-02-10 19:53:18,006 iteration 20 : loss : 0.503532, loss_ce: 0.282734
2022-02-10 19:53:19,454 iteration 21 : loss : 0.507820, loss_ce: 0.266033
2022-02-10 19:53:20,801 iteration 22 : loss : 0.456956, loss_ce: 0.196943
2022-02-10 19:53:22,215 iteration 23 : loss : 0.578480, loss_ce: 0.388468
2022-02-10 19:53:23,647 iteration 24 : loss : 0.428296, loss_ce: 0.163635
2022-02-10 19:53:25,101 iteration 25 : loss : 0.426694, loss_ce: 0.162360
2022-02-10 19:53:26,515 iteration 26 : loss : 0.442122, loss_ce: 0.169880
2022-02-10 19:53:27,930 iteration 27 : loss : 0.443270, loss_ce: 0.137290
2022-02-10 19:53:29,314 iteration 28 : loss : 0.416689, loss_ce: 0.120152
2022-02-10 19:53:30,727 iteration 29 : loss : 0.474271, loss_ce: 0.195965
2022-02-10 19:53:32,263 iteration 30 : loss : 0.400903, loss_ce: 0.126680
2022-02-10 19:53:33,691 iteration 31 : loss : 0.431329, loss_ce: 0.117184
2022-02-10 19:53:35,121 iteration 32 : loss : 0.425156, loss_ce: 0.119228
2022-02-10 19:53:36,577 iteration 33 : loss : 0.417015, loss_ce: 0.082543
2022-02-10 19:53:37,970 iteration 34 : loss : 0.424743, loss_ce: 0.105013
2022-02-10 19:53:39,418 iteration 35 : loss : 0.492581, loss_ce: 0.228114
2022-02-10 19:53:40,770 iteration 36 : loss : 0.415649, loss_ce: 0.080179
2022-02-10 19:53:42,245 iteration 37 : loss : 0.388964, loss_ce: 0.103001
2022-02-10 19:53:43,749 iteration 38 : loss : 0.406407, loss_ce: 0.067898
2022-02-10 19:53:45,188 iteration 39 : loss : 0.400579, loss_ce: 0.051120
2022-02-10 19:53:46,563 iteration 40 : loss : 0.384905, loss_ce: 0.053499
2022-02-10 19:53:48,077 iteration 41 : loss : 0.407248, loss_ce: 0.063577
2022-02-10 19:53:49,480 iteration 42 : loss : 0.397266, loss_ce: 0.044188
2022-02-10 19:53:50,857 iteration 43 : loss : 0.395761, loss_ce: 0.041239
2022-02-10 19:53:52,277 iteration 44 : loss : 0.384488, loss_ce: 0.045715
2022-02-10 19:53:53,690 iteration 45 : loss : 0.401588, loss_ce: 0.072868
2022-02-10 19:53:55,128 iteration 46 : loss : 0.411560, loss_ce: 0.074785
2022-02-10 19:53:56,548 iteration 47 : loss : 0.373644, loss_ce: 0.057229
2022-02-10 19:53:58,023 iteration 48 : loss : 0.369823, loss_ce: 0.054257
2022-02-10 19:53:59,468 iteration 49 : loss : 0.396130, loss_ce: 0.041894
2022-02-10 19:54:00,890 iteration 50 : loss : 0.370133, loss_ce: 0.079391
2022-02-10 19:54:02,430 iteration 51 : loss : 0.374861, loss_ce: 0.051446
2022-02-10 19:54:03,939 iteration 52 : loss : 0.379303, loss_ce: 0.044419
2022-02-10 19:54:05,430 iteration 53 : loss : 0.375715, loss_ce: 0.051544
2022-02-10 19:54:06,860 iteration 54 : loss : 0.377283, loss_ce: 0.034003
2022-02-10 19:54:08,327 iteration 55 : loss : 0.347318, loss_ce: 0.068608
2022-02-10 19:54:09,780 iteration 56 : loss : 0.372758, loss_ce: 0.074715
2022-02-10 19:54:11,194 iteration 57 : loss : 0.354862, loss_ce: 0.050317
